,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2851,Alcoholic Beverages and Tobacco,1.56,1.66,1.17,0.1,-0.49
2852,Clothing and Footwear,2.51,2.31,2.95,-0.21,0.64
2853,"Housing, Water, Electricity, Gas and Other Fuels",14.62,14.91,14.63,0.29,-0.28
2854,Furnishings and Routine Household Maintenance,1.31,1.24,2.24,-0.07,1
2855,Health,1.1,1.75,1.39,0.65,-0.36
2856,Transport,4.62,5.34,5.01,0.72,-0.33
2857,Information and Communication,1.21,1.92,1.69,0.71,-0.24
2858,"Recreation, Sport and Culture",0.41,0.22,0.66,-0.19,0.44
2859,Education,2.11,0.64,2.06,-1.47,1.42
2860,Hotels (Accommodation Services),0.03,0.02,0.04,0,0.02
2861,Insurance and Financial Services,0,1.15,0.75,1.15,-0.4
2862,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.05,5.13,4.66,-0.92,-0.47
2863,Durable Furniture and Equipment,1.34,2.15,1.55,0.81,-0.6
2864,Special Family Occasion,1.86,1.39,2.29,-0.48,0.9
2865,Other Expenditures,1.42,1.58,1.4,0.16,-0.19
2866,,,,,,
2867,Basilan,,,,,
2868,Share to Family Expenditure,100,100.0,100,,
2869,Food and Non-Alcoholic Beverages,58.49,52.16,55.13,-6.33,2.97
2870,    Food Consumed at Home,53.61,51.67,53.77,-1.93,2.1
2871,    Food Regularly Consumed Outside the Home,4.89,0.48,1.36,-4.41,0.88
2872,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2873,Alcoholic Beverages and Tobacco,1.66,1.67,1.35,0.01,-0.32
2874,Clothing and Footwear,2.83,3.2,2.91,0.37,-0.3
2875,"Housing, Water, Electricity, Gas and Other Fuels",11,16.69,14.59,5.69,-2.1
2876,Furnishings and Routine Household Maintenance,1.26,1.56,2.07,0.3,0.5
2877,Health,1.36,2.69,1.05,1.32,-1.64
2878,Transport,5.32,5.99,5.65,0.67,-0.33
2879,Information and Communication,1.34,1.81,1.61,0.46,-0.2
2880,"Recreation, Sport and Culture",0.4,0.21,0.86,-0.19,0.65
2881,Education,1.57,0.99,3.47,-0.58,2.48
2882,Hotels (Accommodation Services),0.06,0.02,0,-0.04,-0.02
2883,Insurance and Financial Services,0,0.79,0.77,0.79,-0.02
2884,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.75,4.93,5.27,-1.82,0.34
2885,Durable Furniture and Equipment,3.17,3.12,2.96,-0.05,-0.16
2886,Special Family Occasion,3.66,1.76,1.57,-1.9,-0.19
2887,Other Expenditures,1.11,2.41,0.74,1.3,-1.66
2888,,,,,,
2889,Lanao Del Sur,,,,,
2890,Share to Family Expenditure,100,100.0,100,,
2891,Food and Non-Alcoholic Beverages,59.45,68.74,62.5,9.29,-6.24
2892,    Food Consumed at Home,53.58,60.9,58.69,7.32,-2.22
2893,    Food Regularly Consumed Outside the Home,5.87,7.83,3.8,1.96,-4.03
2894,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2895,Alcoholic Beverages and Tobacco,1.36,0.89,1.05,-0.47,0.16
2896,Clothing and Footwear,2.48,1.51,2.19,-0.97,0.68
2897,"Housing, Water, Electricity, Gas and Other Fuels",15.29,11.57,13.18,-3.72,1.61
2898,Furnishings and Routine Household Maintenance,1.78,1.06,1.54,-0.72,0.48
2899,Health,1.39,1.78,1.39,0.4,-0.39
2900,Transport,4.78,3.86,4.05,-0.92,0.19
2901,Information and Communication,0.96,1.14,1.19,0.18,0.05
2902,"Recreation, Sport and Culture",0.44,0.18,0.53,-0.26,0.34
2903,Education,1.79,0.51,2.53,-1.28,2.02
2904,Hotels (Accommodation Services),0.01,0.01,0.07,0,0.06
2905,Insurance and Financial Services,0,1.51,1.19,1.51,-0.32
2906,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.41,3.71,4.02,-2.7,0.31
2907,Durable Furniture and Equipment,1.12,0.88,1.06,-0.24,0.19
2908,Special Family Occasion,0.79,0.69,1.36,-0.09,0.67
2909,Other Expenditures,1.94,1.93,2.14,-0.01,0.21
2910,,,,,,
2911,Maguindanao,,,,,
2912,Share to Family Expenditure,100,100.0,100,,
2913,Food and Non-Alcoholic Beverages,59.27,51.95,55.19,-7.32,3.24
2914,    Food Consumed at Home,50.86,49.43,50.98,-1.43,1.54
2915,    Food Regularly Consumed Outside the Home,8.41,2.51,4.21,-5.9,1.7
2916,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2917,Alcoholic Beverages and Tobacco,2.12,2.25,1.22,0.13,-1.02
2918,Clothing and Footwear,2.55,2.81,3.04,0.26,0.23
2919,"Housing, Water, Electricity, Gas and Other Fuels",14.57,16.88,14.28,2.31,-2.6
2920,Furnishings and Routine Household Maintenance,1.2,1.44,2.72,0.24,1.27
2921,Health,1.11,1.15,1.39,0.04,0.24
2922,Transport,4.81,6.42,5.47,1.62,-0.96
2923,Information and Communication,1.31,2.5,2.19,1.2,-0.31
2924,"Recreation, Sport and Culture",0.46,0.26,0.87,-0.2,0.61
2925,Education,1.47,0.7,1.94,-0.78,1.24
2926,Hotels (Accommodation Services),0.04,0.0,0.02,-0.04,0.01
2927,Insurance and Financial Services,0,0.67,0.54,0.67,-0.13
2928,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.64,6.5,4.84,0.86,-1.67
2929,Durable Furniture and Equipment,1.46,3.0,1.56,1.54,-1.44
2930,Special Family Occasion,2.67,2.0,3.56,-0.67,1.57
2931,Other Expenditures,1.3,1.45,1.16,0.15,-0.29
2932,,,,,,
2933,Maguindanao del Sur,,,,,
2934,Share to Family Expenditure,,,100,,
2935,Food and Non-Alcoholic Beverages,,,56.65,,
2936,    Food Consumed at Home,,,51.84,,
2937,    Food Regularly Consumed Outside the Home,,,4.8,,
2938,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",,,0.01,,
2939,Alcoholic Beverages and Tobacco,,,1.19,,
2940,Clothing and Footwear,,,2.89,,
2941,"Housing, Water, Electricity, Gas and Other Fuels",,,12.9,,
2942,Furnishings and Routine Household Maintenance,,,2.75,,
2943,Health,,,1.3,,
2944,Transport,,,5.62,,
2945,Information and Communication,,,2.28,,
2946,"Recreation, Sport and Culture",,,0.91,,
2947,Education,,,1.9,,
2948,Hotels (Accommodation Services),,,0.02,,
2949,Insurance and Financial Services,,,0.3,,
2950,"Personal Care, Social Protection and Miscellaneous Goods and Services",,,4.69,,
2951,Durable Furniture and Equipment,,,1.3,,
2952,Special Family Occasion,,,4.05,,
2953,Other Expenditures,,,1.23,,
2954,,,,,,
2955,Maguindanao del Norte,,,,,
2956,Share to Family Expenditure,,,100,,
2957,Food and Non-Alcoholic Beverages,,,53.64,,
2958,    Food Consumed at Home,,,50.05,,
2959,    Food Regularly Consumed Outside the Home,,,3.59,,
2960,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",,,0,,
2961,Alcoholic Beverages and Tobacco,,,1.26,,
2962,Clothing and Footwear,,,3.2,,
2963,"Housing, Water, Electricity, Gas and Other Fuels",,,15.75,,
2964,Furnishings and Routine Household Maintenance,,,2.68,,
2965,Health,,,1.48,,
2966,Transport,,,5.3,,
2967,Information and Communication,,,2.11,,
2968,"Recreation, Sport and Culture",,,0.83,,
2969,Education,,,1.97,,
2970,Hotels (Accommodation Services),,,0.01,,
2971,Insurance and Financial Services,,,0.78,,
2972,"Personal Care, Social Protection and Miscellaneous Goods and Services",,,4.99,,
2973,Durable Furniture and Equipment,,,1.84,,
2974,Special Family Occasion,,,3.04,,
2975,Other Expenditures,,,1.09,,
2976,,,,,,
2977,Sulu,,,,,
2978,Share to Family Expenditure,100,100.0,100,,
2979,Food and Non-Alcoholic Beverages,66.02,59.84,64.72,-6.17,4.87
2980,    Food Consumed at Home,65.34,58.34,63.22,-7,4.88
2981,    Food Regularly Consumed Outside the Home,0.67,1.5,1.49,0.83,-0.01
2982,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
2983,Alcoholic Beverages and Tobacco,1.27,2.06,0.76,0.79,-1.3
2984,Clothing and Footwear,2.34,2.53,3.33,0.19,0.8
2985,"Housing, Water, Electricity, Gas and Other Fuels",11.89,13.57,10.32,1.68,-3.25
2986,Furnishings and Routine Household Maintenance,0.91,0.98,2.58,0.07,1.61
2987,Health,0.59,2.56,1.41,1.97,-1.15
2988,Transport,3.1,5.53,3.84,2.43,-1.69
2989,Information and Communication,0.99,1.53,1.26,0.53,-0.27
2990,"Recreation, Sport and Culture",0.27,0.12,0.36,-0.15,0.24
2991,Education,4.62,0.33,0.66,-4.29,0.32
2992,Hotels (Accommodation Services),0.01,0.01,0.01,0,0
2993,Insurance and Financial Services,0,0.83,0.25,0.83,-0.58
2994,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.37,5.57,5.56,0.19,0
2995,Durable Furniture and Equipment,0.35,2.56,1.21,2.21,-1.35
2996,Special Family Occasion,0.89,1.0,2.45,0.11,1.44
2997,Other Expenditures,1.36,0.98,1.29,-0.38,0.31
2998,,,,,,
2999,Tawi-Tawi,,,,,
3000,Share to Family Expenditure,100,100.0,100,,
3001,Food and Non-Alcoholic Beverages,61.04,57.8,46.28,-3.24,-11.52
3002,    Food Consumed at Home,59.64,56.98,46.1,-2.65,-10.88
3003,    Food Regularly Consumed Outside the Home,1.4,0.82,0.17,-0.59,-0.65
3004,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0
3005,Alcoholic Beverages and Tobacco,1.23,3.0,2.42,1.77,-0.58
3006,Clothing and Footwear,3.07,2.63,3.68,-0.44,1.05
3007,"Housing, Water, Electricity, Gas and Other Fuels",15.37,14.86,26.56,-0.52,11.7
3008,Furnishings and Routine Household Maintenance,1.19,1.25,2.39,0.06,1.14
3009,Health,0.62,1.43,0.79,0.81,-0.64
3010,Transport,5.55,6.24,6.78,0.69,0.55
3011,Information and Communication,1.16,2.47,1.45,1.32,-1.03
3012,"Recreation, Sport and Culture",0.37,0.12,0.45,-0.25,0.33
3013,Education,0.88,0.68,2.24,-0.2,1.56
3014,Hotels (Accommodation Services),0,0.0,0,0,0
3015,Insurance and Financial Services,0,0.73,0.09,0.73,-0.64
3016,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.19,5.34,4.4,-0.86,-0.94
3017,Durable Furniture and Equipment,0.93,1.15,1.1,0.22,-0.05
3018,Special Family Occasion,1.34,1.69,1.08,0.35,-0.61
3019,Other Expenditures,1.06,0.62,0.29,-0.44,-0.33
3020,,,,,,
3021,Cotabato City,,,,,
3022,Share to Family Expenditure,100,100.0,100,,
3023,Food and Non-Alcoholic Beverages,53.38,45.36,46.97,-8.01,1.6
3024,    Food Consumed at Home,43.42,41.68,41.64,-1.74,-0.04
3025,    Food Regularly Consumed Outside the Home,9.96,3.67,5.32,-6.28,1.65
3026,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
3027,Alcoholic Beverages and Tobacco,1.02,1.03,0.88,0,-0.15
3028,Clothing and Footwear,2.11,2.44,2.88,0.33,0.44
3029,"Housing, Water, Electricity, Gas and Other Fuels",19.49,21.71,19.06,2.21,-2.64
3030,Furnishings and Routine Household Maintenance,1.27,1.48,2.62,0.2,1.14
3031,Health,1.4,1.58,1.81,0.18,0.22
3032,Transport,4.83,6.0,6.3,1.17,0.29
3033,Information and Communication,1.71,3.25,2.87,1.54,-0.37
3034,"Recreation, Sport and Culture",0.43,0.43,1.08,0,0.65
3035,Education,2.05,1.12,2.58,-0.93,1.46
3036,Hotels (Accommodation Services),0.02,0.16,0.13,0.14,-0.03
3037,Insurance and Financial Services,0,2.24,1.24,2.24,-1.01
3038,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.8,5.55,4.43,-1.24,-1.12
3039,Durable Furniture and Equipment,1.9,3.6,2.48,1.7,-1.11
3040,Special Family Occasion,2.41,2.21,3.23,-0.2,1.01
3041,Other Expenditures,1.18,1.84,1.46,0.66,-0.38
3042,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,
3043,,,,,,
3044,Notes:,,,,,
3045,p - Estimates are preliminary and may change,,,,,
3046,* Alcoholic Beverages and Tobacco also include Other vegetable-based products and alcoholic production services. ,,,,,
3047,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,
3048,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,
3049,Details may not add up to total due to rounding.,,,,,
