region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Furnishings And Routine Household Maintenance,1.19,1.25,2.39,0.06,1.14
Health,0.62,1.43,0.79,0.81,-0.64
Transport,5.55,6.24,6.78,0.69,0.55
Information And Communication,1.16,2.47,1.45,1.32,-1.03
"Recreation, Sport And Culture",0.37,0.12,0.45,-0.25,0.33
Education,0.88,0.68,2.24,-0.2,1.56
Hotels (accommodation Services),0.0,0.0,0.0,0.0,0.0
Insurance And Financial Services,0.0,0.73,0.09,0.73,-0.64
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.19,5.34,4.4,-0.86,-0.94
Durable Furniture And Equipment,0.93,1.15,1.1,0.22,-0.05
Special Family Occasion,1.34,1.69,1.08,0.35,-0.61
Other Expenditures,1.06,0.62,0.29,-0.44,-0.33
Cotabato City,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,53.38,45.36,46.97,-8.01,1.6
Food Consumed At Home,43.42,41.68,41.64,-1.74,-0.04
Food Regularly Consumed Outside The Home,9.96,3.67,5.32,-6.28,1.65
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.02,1.03,0.88,0.0,-0.15
Clothing And Footwear,2.11,2.44,2.88,0.33,0.44
"Housing, Water, Electricity, Gas And Other Fuels",19.49,21.71,19.06,2.21,-2.64
Furnishings And Routine Household Maintenance,1.27,1.48,2.62,0.2,1.14
Health,1.4,1.58,1.81,0.18,0.22
Transport,4.83,6.0,6.3,1.17,0.29
Information And Communication,1.71,3.25,2.87,1.54,-0.37
"Recreation, Sport And Culture",0.43,0.43,1.08,0.0,0.65
Education,2.05,1.12,2.58,-0.93,1.46
Hotels (accommodation Services),0.02,0.16,0.13,0.14,-0.03
Insurance And Financial Services,0.0,2.24,1.24,2.24,-1.01
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.8,5.55,4.43,-1.24,-1.12
Durable Furniture And Equipment,1.9,3.6,2.48,1.7,-1.11
Special Family Occasion,2.41,2.21,3.23,-0.2,1.01
Other Expenditures,1.18,1.84,1.46,0.66,-0.38
